Type,Time,Expected,Origin/Destination,Airline,Flight Number,Status,Note,Date Scraped
Arrivals,5:15,5:19,Paris Charles De Gaulle,FedEx,FX6257,Landed 05:16,Cargo,30-10-24 23:30
Arrivals,5:15,5:14,Liege,FedEx,FX4862,Landed 05:09,Cargo,30-10-24 23:30
Arrivals,5:15,5:24,Brussels,European Air Transport / DHL,QY4908,Landed 05:21,Cargo,30-10-24 23:30
Arrivals,5:20,5:16,Cologne Bonn,Sprintair,SRN6262,Landed 05:13,Cargo,30-10-24 23:30
Arrivals,5:40,5:59,Cologne Bonn,Sprintair,SRN1996,Landed 05:56,Cargo,30-10-24 23:30
Arrivals,5:45,5:33,Leipzig,European Air Transport / DHL,QY4904,Landed 05:30,Cargo,30-10-24 23:30
Arrivals,5:55,6:03,Cologne Bonn,European Air Transport / DHL,QY4906,Landed 06:01,Cargo,30-10-24 23:30
Arrivals,6:30,5:56,Istanbul,Turkish Airlines,TK6080,Landed 05:54,Cargo,30-10-24 23:30
Arrivals,7:05,6:41,Hurghada,Air Cairo,SM2910,Landed 06:38,,30-10-24 23:30
Arrivals,7:55,7:41,Antalya,SunExpress,XQ110,Landed 07:39,,30-10-24 23:30
Arrivals,8:05,7:48,Palma,easyJet,EC7271,Landed 07:44,,30-10-24 23:30
Arrivals,8:15,7:56,Belgrade,Wizz Air,W64051,Landed 07:53,,30-10-24 23:30
Arrivals,8:55,8:44,Munich,Lufthansa,LH2394,Landed 08:40,,30-10-24 23:30
Arrivals,9:15,9:01,Barcelona,easyJet,EC7101,Landed 08:57,,30-10-24 23:30
Arrivals,9:25,9:11,Alicante,easyJet,EC5501,Landed 09:07,,30-10-24 23:30
Arrivals,9:30,9:18,Vienna,Austrian Airlines,OS471,Landed 09:16,,30-10-24 23:30
Arrivals,9:35,9:47,Paris Charles De Gaulle,Air France,AF1192,Landed 09:44,,30-10-24 23:30
Arrivals,9:45,9:44,Lisbon,easyJet,EC7677,Landed 09:41,,30-10-24 23:30
Arrivals,9:50,9:33,Skopje,Wizz Air,W64793,Landed 09:31,,30-10-24 23:30
Arrivals,10:15,9:54,Casablanca,Air Arabia Maroc,3O265,Landed 09:51,,30-10-24 23:30
Arrivals,10:20,10:28,Porto,easyJet,EC7731,Landed 10:24,,30-10-24 23:30
Arrivals,10:20,10:23,London Heathrow,British Airways,BA752,Landed 10:19,,30-10-24 23:30
Arrivals,10:30,10:26,Frankfurt,Lufthansa,LH1202,Landed 10:22,,30-10-24 23:30
Arrivals,10:40,10:41,Amsterdam,KLM,KL1943,Landed 10:38,,30-10-24 23:30
Arrivals,11:10,11:02,Rome,easyJet,DS1124,Landed 11:00,,30-10-24 23:30
Arrivals,11:25,11:11,London Gatwick,easyJet,DS8476,Landed 11:06,,30-10-24 23:30
Arrivals,11:55,11:43,Thessaloniki,easyJet,DS1142,Landed 11:39,,30-10-24 23:30
Arrivals,11:55,11:41,Istanbul Sabiha Gökcen,Pegasus Airlines,PC939,Landed 11:37,,30-10-24 23:30
Arrivals,12:05,12:03,Zagreb,Ryanair,FR5862,Landed 11:59,,30-10-24 23:30
Arrivals,12:05,12:06,Bordeaux,easyJet,EC1915,Landed 12:02,,30-10-24 23:30
Arrivals,12:10,12:16,Dubai,Flydubai,FZ1425,Landed 12:14,,30-10-24 23:30
Arrivals,12:20,12:09,Faro,easyJet,DS1278,Landed 12:07,,30-10-24 23:30
Arrivals,12:20,12:19,Catania,easyJet,DS1118,Landed 12:16,,30-10-24 23:30
Arrivals,12:25,12:24,Munich,Lufthansa,LH2396,Landed 12:20,,30-10-24 23:30
Arrivals,12:40,12:34,Barcelona,Vueling,VY6278,Landed 12:31,,30-10-24 23:30
Arrivals,13:00,12:54,Pristina,easyJet,DS1204,Landed 12:49,,30-10-24 23:30
Arrivals,13:00,13:16,Pristina,GP Aviation,IV800,Landed 13:12,,30-10-24 23:30
Arrivals,13:20,13:04,Athens,easyJet,DS1146,Landed 12:59,,30-10-24 23:30
Arrivals,13:20,13:27,Frankfurt,Lufthansa,LH1204,Landed 13:24,,30-10-24 23:30
Arrivals,13:25,13:22,Izmir,SunExpress,XQ912,Landed 13:19,,30-10-24 23:30
Arrivals,13:40,13:19,Budapest,Wizz Air,W62269,Landed 13:16,,30-10-24 23:30
Arrivals,13:50,14:13,Zurich,Chair Airlines,GM5612,Landed 14:10,Cargo,30-10-24 23:30
Arrivals,14:05,13:59,Paris Charles De Gaulle,Air France,AF1292,Landed 13:55,,30-10-24 23:30
Arrivals,14:35,16:39,Marrakech,easyJet,DS1254,Landed 16:35,,30-10-24 23:30
Arrivals,14:40,,Tuzla,Wizz Air,W64293,Cancelled,,30-10-24 23:30
Arrivals,14:55,14:46,Larnaca,easyJet,DS1262,Landed 14:42,,30-10-24 23:30
Arrivals,15:00,14:54,London Heathrow,British Airways,BA754,Landed 14:50,,30-10-24 23:30
Arrivals,15:05,14:52,Iasi,Wizz Air,W43639,Landed 14:48,,30-10-24 23:30
Arrivals,15:10,14:49,Skopje,Wizz Air,W64731,Landed 14:45,,30-10-24 23:30
Arrivals,15:35,16:34,Sofia,Wizz Air,W64323,Landed 16:30,,30-10-24 23:30
Arrivals,15:35,15:17,Istanbul Sabiha Gökcen,Pegasus Airlines,PC941,Landed 15:12,,30-10-24 23:30
Arrivals,15:40,16:26,Algiers,Air Algérie,AH1172,Landed 16:22,,30-10-24 23:30
Arrivals,15:55,15:59,Bucharest,Wizz Air,W43089,Landed 15:56,,30-10-24 23:30
Arrivals,16:05,16:07,Belgrade,Wizz Air,W64293,Landed 16:05,Cargo,30-10-24 23:30
Arrivals,16:30,16:53,Tirana,Wizz Air,W45123,Landed 16:50,,30-10-24 23:30
Arrivals,16:30,16:24,Ajaccio,easyJet,DS1064,Landed 16:18,,30-10-24 23:30
Arrivals,16:40,16:41,Toulouse,easyJet,EC4971,Landed 16:39,,30-10-24 23:30
Arrivals,16:40,16:31,Krakow,easyJet,DS1284,Landed 16:27,,30-10-24 23:30
Arrivals,17:05,17:12,Venice,easyJet,EC4083,Landed 17:07,,30-10-24 23:30
Arrivals,17:05,16:49,Antalya,SunExpress,XQ210,Landed 16:44,,30-10-24 23:30
Arrivals,17:05,17:34,Alicante,easyJet,DS1012,Landed 17:32,,30-10-24 23:30
Arrivals,17:10,16:59,Istanbul,Turkish Airlines,TK1925,Landed 16:58,,30-10-24 23:30
Arrivals,17:20,17:23,Hurghada,easyJet,DS1268,Landed 17:19,,30-10-24 23:30
Arrivals,17:25,17:14,Prague,easyJet,DS1270,Landed 17:11,,30-10-24 23:30
Arrivals,17:25,17:44,Amsterdam,KLM,KL1947,Landed 17:40,,30-10-24 23:30
Arrivals,17:35,18:31,Algiers,ASL Airlines France,5O534,Landed 18:31,,30-10-24 23:30
Arrivals,17:45,17:29,Budapest,Qatar Airways,QR8020,Landed 17:26,Cargo,30-10-24 23:30
Arrivals,17:45,19:09,Antalya,Pegasus Airlines,PC5053,Landed 19:06,,30-10-24 23:30
Arrivals,17:55,18:09,London Stansted,Ryanair,FR4182,Landed 18:04,,30-10-24 23:30
Arrivals,18:10,18:14,Pristina,easyJet,DS1210,Landed 18:10,,30-10-24 23:30
Arrivals,18:10,18:22,Frankfurt,Lufthansa,LH1206,Landed 18:20,,30-10-24 23:30
Arrivals,18:15,18:26,Palma,easyJet,DS1004,Landed 18:24,,30-10-24 23:30
Arrivals,18:20,18:39,London Heathrow,British Airways,BA750,Landed 18:37,,30-10-24 23:30
Arrivals,18:20,18:18,Enfidha,easyJet,DS1274,Landed 18:15,,30-10-24 23:30
Arrivals,18:45,20:31,Nice,easyJet,DS1054,Landed 20:30,,30-10-24 23:30
Arrivals,19:25,19:27,Munich,Lufthansa,LH2400,Landed 19:23,,30-10-24 23:30
Arrivals,19:30,19:42,Pristina,GP Aviation,IV802,Landed 19:39,,30-10-24 23:30
Arrivals,19:45,19:29,Vienna,Austrian Airlines,OS473,Landed 19:29,,30-10-24 23:30
Arrivals,20:25,20:28,Palma,easyJet,EC7275,Landed 20:25,,30-10-24 23:30
Arrivals,20:30,20:16,Nis,Wizz Air,W64195,Landed 20:12,,30-10-24 23:30
Arrivals,20:40,20:49,London Gatwick,easyJet,U28479,Landed 20:44,,30-10-24 23:30
Arrivals,20:45,20:52,Barcelona,easyJet,EC7103,Landed 20:48,,30-10-24 23:30
Arrivals,21:30,21:26,Frankfurt,Lufthansa,LH1208,Landed 21:22,,30-10-24 23:30
Arrivals,21:45,21:49,Tenerife,easyJet,DS1026,Landed 21:47,,30-10-24 23:30
Arrivals,21:50,21:46,Paris Charles De Gaulle,FedEx,FX6237,Landed 21:44,Cargo,30-10-24 23:30
Arrivals,21:50,21:44,Geneva,FedEx,FX4962,Landed 21:41,Cargo,30-10-24 23:30
Arrivals,22:05,23:33,Amsterdam,KLM,KL1949,,,30-10-24 23:30
Arrivals,22:20,22:09,Pristina,Chair Airlines,GM613,Landed 22:06,,30-10-24 23:30
Arrivals,22:20,22:16,London Heathrow,British Airways,BA756,Landed 22:14,,30-10-24 23:30
Arrivals,22:30,22:37,Madrid,easyJet,DS1016,Landed 22:34,,30-10-24 23:30
Arrivals,22:30,22:11,Copenhagen,easyJet,DS1264,Landed 22:08,,30-10-24 23:30
Arrivals,22:35,22:33,Malaga,easyJet,DS1008,Landed 22:30,,30-10-24 23:30
Arrivals,22:35,22:29,Berlin,easyJet,DS1188,Landed 22:26,,30-10-24 23:30
Arrivals,22:40,23:03,Amsterdam,easyJet,DS1222,Landed 23:01,,30-10-24 23:30
Arrivals,22:45,0:05,Budapest,easyJet,DS1214,,,30-10-24 23:30
Arrivals,22:50,23:50,Porto,easyJet,DS1276,,,30-10-24 23:30
Arrivals,22:50,22:54,Mahon,easyJet,DS1014,Landed 22:53,,30-10-24 23:30
Arrivals,22:55,0:25,Hamburg,easyJet,DS1184,,,30-10-24 23:30
Arrivals,23:00,22:59,Pristina,easyJet,DS1206,Landed 22:56,,30-10-24 23:30
Departures,6:00,6:30,Zurich,Chair Airlines,GM5600,Departed 06:52,Cargo,30-10-24 23:30
Departures,6:00,,Granada,Zimex Aviation,XM401,Departed 06:15,Cargo,30-10-24 23:30
Departures,6:00,,Faro,easyJet,DS1277,Departed 06:13,,30-10-24 23:30
Departures,6:05,,Geneva,FedEx,FX4862,Departed 06:10,Cargo,30-10-24 23:30
Departures,6:05,,Amsterdam,KLM,KL1942,Departed 06:18,,30-10-24 23:30
Departures,6:15,,London Heathrow,British Airways,BA751,Departed 06:49,,30-10-24 23:30
Departures,6:20,,Thessaloniki,easyJet,DS1141,Departed 06:22,,30-10-24 23:30
Departures,6:30,,Larnaca,easyJet,DS1261,Departed 06:34,,30-10-24 23:30
