Type,Time,Expected,Origin/Destination,Airline,Flight Number,Status,Note,Date Scraped
Arrivals,5:15,5:14,Liege,FedEx,FX4862,Landed 05:11,Cargo,24-10-24 23:55
Arrivals,5:15,5:07,Brussels,European Air Transport / DHL,QY4908,Landed 05:05,Cargo,24-10-24 23:55
Arrivals,5:20,5:11,Cologne Bonn,Sprintair,SRN6262,Landed 05:07,Cargo,24-10-24 23:55
Arrivals,5:25,5:22,Paris Charles De Gaulle,FedEx,FX6257,Landed 05:17,Cargo,24-10-24 23:55
Arrivals,5:25,6:08,Lille,Enter Air,E4550,Landed 06:04,Cargo,24-10-24 23:55
Arrivals,5:30,5:57,Leipzig,DHL Air,D04904,Landed 05:54,Cargo,24-10-24 23:55
Arrivals,5:50,6:17,Cologne Bonn,Sprintair,SRN1996,Landed 06:13,Cargo,24-10-24 23:55
Arrivals,5:55,7:26,Cologne Bonn,European Air Transport / DHL,QY4906,Landed 07:24,Cargo,24-10-24 23:55
Arrivals,7:55,7:48,Frankfurt,Lufthansa,LH1200,Landed 07:47,,24-10-24 23:55
Arrivals,8:55,8:52,Palma,easyJet,EC7271,Landed 08:50,,24-10-24 23:55
Arrivals,8:55,8:57,Antalya,SunExpress,XQ110,Landed 08:54,,24-10-24 23:55
Arrivals,9:05,9:06,Munich,Lufthansa,LH2394,Landed 09:03,,24-10-24 23:55
Arrivals,9:10,9:09,Antalya,Corendon Airlines,XC4701,Landed 09:06,,24-10-24 23:55
Arrivals,9:20,9:03,Alicante,easyJet,EC5501,Landed 09:01,,24-10-24 23:55
Arrivals,9:30,9:17,Malaga,easyJet,EC7021,Landed 09:15,,24-10-24 23:55
Arrivals,9:35,9:31,Barcelona,easyJet,EC7101,Landed 09:26,,24-10-24 23:55
Arrivals,9:35,9:33,Amsterdam,easyJet,DS1222,Landed 09:29,,24-10-24 23:55
Arrivals,9:40,9:36,Vienna,Austrian Airlines,OS471,Landed 09:32,,24-10-24 23:55
Arrivals,9:40,10:01,Porto,easyJet,EC7731,Landed 09:56,,24-10-24 23:55
Arrivals,9:40,9:27,Istanbul,Turkish Airlines,TK1923,Landed 09:24,,24-10-24 23:55
Arrivals,9:45,9:51,Amsterdam,KLM,KL1943,Landed 09:49,,24-10-24 23:55
Arrivals,9:50,9:54,Dublin,Ryanair,FR5131,Landed 09:51,,24-10-24 23:55
