Date Scraped,Type,LocalAirport,Origin/Destination,Airline,Status,Expected,Actual,Delay
24-10-24 23:55,Arrivals,Basel,Liege,FedEx,Landed,2000-01-01 05:14:00,2000-01-01 05:11:00,-3.0
24-10-24 23:55,Arrivals,Basel,Brussels,European Air Transport / DHL,Landed,2000-01-01 05:07:00,2000-01-01 05:05:00,-2.0
24-10-24 23:55,Arrivals,Basel,Cologne Bonn,Sprintair,Landed,2000-01-01 05:11:00,2000-01-01 05:07:00,-4.0
24-10-24 23:55,Arrivals,Basel,Paris Charles De Gaulle,FedEx,Landed,2000-01-01 05:22:00,2000-01-01 05:17:00,-5.0
24-10-24 23:55,Arrivals,Basel,Lille,Enter Air,Landed,2000-01-01 06:08:00,2000-01-01 06:04:00,-4.0
24-10-24 23:55,Arrivals,Basel,Leipzig,DHL Air,Landed,2000-01-01 05:57:00,2000-01-01 05:54:00,-3.0
24-10-24 23:55,Arrivals,Basel,Cologne Bonn,Sprintair,Landed,2000-01-01 06:17:00,2000-01-01 06:13:00,-4.0
24-10-24 23:55,Arrivals,Basel,Cologne Bonn,European Air Transport / DHL,Landed,2000-01-01 07:26:00,2000-01-01 07:24:00,-2.0
24-10-24 23:55,Arrivals,Basel,Frankfurt,Lufthansa,Landed,2000-01-01 07:48:00,2000-01-01 07:47:00,-1.0
24-10-24 23:55,Arrivals,Basel,Palma,easyJet,Landed,2000-01-01 08:52:00,2000-01-01 08:50:00,-2.0
24-10-24 23:55,Arrivals,Basel,Antalya,SunExpress,Landed,2000-01-01 08:57:00,2000-01-01 08:54:00,-3.0
24-10-24 23:55,Arrivals,Basel,Munich,Lufthansa,Landed,2000-01-01 09:06:00,2000-01-01 09:03:00,-3.0
24-10-24 23:55,Arrivals,Basel,Antalya,Corendon Airlines,Landed,2000-01-01 09:09:00,2000-01-01 09:06:00,-3.0
24-10-24 23:55,Arrivals,Basel,Alicante,easyJet,Landed,2000-01-01 09:03:00,2000-01-01 09:01:00,-2.0
24-10-24 23:55,Arrivals,Basel,Malaga,easyJet,Landed,2000-01-01 09:17:00,2000-01-01 09:15:00,-2.0
24-10-24 23:55,Arrivals,Basel,Barcelona,easyJet,Landed,2000-01-01 09:31:00,2000-01-01 09:26:00,-5.0
24-10-24 23:55,Arrivals,Basel,Amsterdam,easyJet,Landed,2000-01-01 09:33:00,2000-01-01 09:29:00,-4.0
24-10-24 23:55,Arrivals,Basel,Vienna,Austrian Airlines,Landed,2000-01-01 09:36:00,2000-01-01 09:32:00,-4.0
24-10-24 23:55,Arrivals,Basel,Porto,easyJet,Landed,2000-01-01 10:01:00,2000-01-01 09:56:00,-5.0
24-10-24 23:55,Arrivals,Basel,Istanbul,Turkish Airlines,Landed,2000-01-01 09:27:00,2000-01-01 09:24:00,-3.0
24-10-24 23:55,Arrivals,Basel,Amsterdam,KLM,Landed,2000-01-01 09:51:00,2000-01-01 09:49:00,-2.0
24-10-24 23:55,Arrivals,Basel,Dublin,Ryanair,Landed,2000-01-01 09:54:00,2000-01-01 09:51:00,-3.0
24-10-24 23:55,Arrivals,Basel,Hamburg,easyJet,Landed,2000-01-01 09:49:00,2000-01-01 09:45:00,-4.0
24-10-24 23:55,Arrivals,Basel,Rome,easyJet,Landed,2000-01-01 09:46:00,2000-01-01 09:42:00,-4.0
24-10-24 23:55,Arrivals,Basel,Paris Charles De Gaulle,Air France,Landed,2000-01-01 10:19:00,2000-01-01 10:15:00,-4.0
24-10-24 23:55,Arrivals,Basel,Budapest,Wizz Air,Landed,2000-01-01 10:14:00,2000-01-01 10:11:00,-3.0
24-10-24 23:55,Arrivals,Basel,Frankfurt,Lufthansa,Landed,2000-01-01 10:33:00,2000-01-01 10:29:00,-4.0
24-10-24 23:55,Arrivals,Basel,Budapest,easyJet,Landed,2000-01-01 10:56:00,2000-01-01 10:52:00,-4.0
