Type,LocalAirport,ForeignAirport,Airline,PlannedDate,ActualDate,Delay
ARRIVAL,GENEVA,MARRAKECH,EASYJET,2024-10-22 22:45:00,2024-10-22 22:39:00,-6
ARRIVAL,GENEVA,EDINBURGH,EASYJET,2024-10-22 22:45:00,2024-10-22 22:30:00,-15
ARRIVAL,GENEVA,BARCELONA,EASYJET,2024-10-22 22:50:00,2024-10-22 22:37:00,-13
ARRIVAL,GENEVA,BUDAPEST,EASYJET,2024-10-22 22:55:00,2024-10-22 22:50:00,-5
ARRIVAL,GENEVA,ANTALYA,SWISS,2024-10-22 23:00:00,2024-10-22 23:06:00,6
ARRIVAL,GENEVA,OSLO,SWISS,2024-10-22 23:30:00,2024-10-22 23:27:00,-3
ARRIVAL,GENEVA,PRISTINA,EASYJET,2024-10-22 23:10:00,2024-10-22 23:00:00,-10
ARRIVAL,GENEVA,NANTES,EASYJET,2024-10-22 22:55:00,2024-10-22 23:28:00,33
ARRIVAL,GENEVA,ATHENS,SWISS,2024-10-22 22:30:00,2024-10-22 22:41:00,11
ARRIVAL,GENEVA,BARI,EASYJET,2024-10-22 22:15:00,2024-10-22 22:14:00,-1
ARRIVAL,GENEVA,TUNIS,TUNISAIR,2024-10-23 18:20:00,2024-10-23 18:20:00,0
ARRIVAL,GENEVA,TIVAT,EASYJET,2024-10-23 18:10:00,2024-10-23 18:10:00,0
ARRIVAL,GENEVA,BARCELONA,EASYJET,2024-10-23 18:10:00,2024-10-23 18:10:00,0
ARRIVAL,GENEVA,ISTANBUL,TURKISH AIRLINES,2024-10-23 18:10:00,2024-10-23 18:10:00,0
ARRIVAL,GENEVA,NICE,EASYJET,2024-10-23 18:00:00,2024-10-23 18:00:00,0
ARRIVAL,GENEVA,PRISTINA,EASYJET,2024-10-23 17:40:00,2024-10-23 17:40:00,0
ARRIVAL,GENEVA,BUCHAREST,WIZZ AIR,2024-10-23 17:40:00,2024-10-23 17:40:00,0
ARRIVAL,GENEVA,VENICE,EASYJET,2024-10-23 17:25:00,2024-10-23 17:25:00,0
ARRIVAL,GENEVA,BARCELONA,VUELING,2024-10-23 17:20:00,2024-10-23 17:20:00,0
ARRIVAL,GENEVA,LONDON,BRITISH AIRWAYS,2024-10-23 10:35:00,2024-10-23 10:35:00,0
ARRIVAL,GENEVA,ANTALYA,PEGASUS,2024-10-23 18:55:00,2024-10-23 18:55:00,0
ARRIVAL,GENEVA,PORTO,EASYJET,2024-10-23 19:00:00,2024-10-23 19:00:00,0
ARRIVAL,GENEVA,TOULOUSE,EASYJET,2024-10-23 19:00:00,2024-10-23 19:00:00,0
ARRIVAL,GENEVA,DJERBA,TUNISAIR,2024-10-23 19:20:00,2024-10-23 19:20:00,0
ARRIVAL,GENEVA,MUNICH,AIR DOLOMITI,2024-10-23 19:30:00,2024-10-23 19:30:00,0
ARRIVAL,GENEVA,BORDEAUX,EASYJET,2024-10-23 10:10:00,2024-10-23 10:10:00,0
ARRIVAL,GENEVA,NAPLES,EASYJET,2024-10-23 10:20:00,2024-10-23 10:20:00,0
ARRIVAL,GENEVA,LONDON,EASYJET,2024-10-23 15:35:00,2024-10-23 15:35:00,0
ARRIVAL,GENEVA,VALENCIA,EASYJET,2024-10-23 16:55:00,2024-10-23 16:55:00,0
ARRIVAL,GENEVA,LILLE,EASYJET,2024-10-23 13:25:00,2024-10-23 13:25:00,0
ARRIVAL,GENEVA,ZURICH,SWISS,2024-10-23 13:00:00,2024-10-23 13:00:00,0
ARRIVAL,GENEVA,SANTIAGO DE COMPOSTELA,EASYJET,2024-10-23 12:50:00,2024-10-23 12:50:00,0
ARRIVAL,GENEVA,DJERBA,EASYJET,2024-10-23 12:30:00,2024-10-23 12:30:00,0
ARRIVAL,GENEVA,LONDON,BRITISH AIRWAYS,2024-10-23 12:00:00,2024-10-23 12:00:00,0
ARRIVAL,GENEVA,LONDON,EASYJET,2024-10-23 11:05:00,2024-10-23 11:05:00,0
ARRIVAL,GENEVA,PORTO,EASYJET,2024-10-23 11:10:00,2024-10-23 11:10:00,0
ARRIVAL,GENEVA,SPLIT,EASYJET,2024-10-23 13:45:00,2024-10-23 13:45:00,0
ARRIVAL,GENEVA,BELGRADE,EASYJET,2024-10-23 11:30:00,2024-10-23 11:30:00,0
ARRIVAL,GENEVA,CATANIA,SWISS,2024-10-23 11:35:00,2024-10-23 11:35:00,0
ARRIVAL,GENEVA,LISBON,EASYJET,2024-10-23 11:50:00,2024-10-23 11:50:00,0
ARRIVAL,GENEVA,COPENHAGEN,EASYJET,2024-10-23 11:20:00,2024-10-23 11:20:00,0
ARRIVAL,GENEVA,AJACCIO,EASYJET,2024-10-23 10:40:00,2024-10-23 10:40:00,0
ARRIVAL,GENEVA,LONDON,BRITISH AIRWAYS,2024-10-23 15:50:00,2024-10-23 15:50:00,0
ARRIVAL,GENEVA,NICE,SWISS,2024-10-23 16:20:00,2024-10-23 16:20:00,0
ARRIVAL,GENEVA,PALMA DE MALLORCA,EASYJET,2024-10-23 16:20:00,2024-10-23 16:20:00,0
ARRIVAL,GENEVA,ALICANTE,EASYJET,2024-10-23 15:30:00,2024-10-23 15:30:00,0
ARRIVAL,GENEVA,SEVILLE,EASYJET,2024-10-23 16:30:00,2024-10-23 16:30:00,0
ARRIVAL,GENEVA,FARO,EASYJET,2024-10-23 16:40:00,2024-10-23 16:40:00,0
