time,expected,origin,airline,status,scrape_time
07:3006:58,06:58,New York,UNITED AIRLINES,,2024-10-23 02:14:29
07:3007:55,07:55,Beijing,AIR CHINA,,2024-10-23 02:14:29
07:35,,Doha,QATAR AIRWAYS,,2024-10-23 02:14:29
07:4007:43,07:43,Washington,UNITED AIRLINES,,2024-10-23 02:14:29
07:40,,Luxembourg,LUXAIR,,2024-10-23 02:14:29
07:50,,Palma de Mallorca,EASYJET,,2024-10-23 02:14:29
07:55,,Brussels,BRUSSELS AIRLINES,,2024-10-23 02:14:29
07:55,,Abu Dhabi,ETIHAD AIRWAYS,,2024-10-23 02:14:29
08:00,,Nice,EASYJET,,2024-10-23 02:14:29
08:20,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-10-23 02:14:29
08:20,,Paris,AIR FRANCE,,2024-10-23 02:14:29
08:30,,Zurich,SWISS,,2024-10-23 02:14:29
08:35,,Frankfurt,LUFTHANSA,,2024-10-23 02:14:29
08:35,,Malaga,EASYJET,,2024-10-23 02:14:29
08:50,,Vienna,AUSTRIAN,,2024-10-23 02:14:29
08:55,,Barcelona,VUELING,,2024-10-23 02:14:29
09:00,,Istanbul,TURKISH AIRLINES,,2024-10-23 02:14:29
09:05,,Paris,EASYJET,,2024-10-23 02:14:29
09:1508:52,08:52,New York,SWISS,,2024-10-23 02:14:29
09:15,,Madrid,IBERIA,,2024-10-23 02:14:29
09:20,,Brussels,EASYJET,,2024-10-23 02:14:29
09:20,,London,BRITISH AIRWAYS,,2024-10-23 02:14:29
09:25,,Porto,EASYJET,,2024-10-23 02:14:29
09:30,,Barcelona,EASYJET,,2024-10-23 02:14:29
09:30,,Olbia,EASYJET,,2024-10-23 02:14:29
09:35,,London,SWISS,,2024-10-23 02:14:29
09:40,,Paris,AIR FRANCE,,2024-10-23 02:14:29
09:45,,Warsaw,LOT POLISH AIRLINES,,2024-10-23 02:14:29
10:00,,Zurich,SWISS,,2024-10-23 02:14:29
10:05,,Brussels,SWISS,,2024-10-23 02:14:29
10:05,,Frankfurt,SWISS,,2024-10-23 02:14:29
10:10,,Bordeaux,EASYJET,,2024-10-23 02:14:29
10:20,,Rome,EASYJET,,2024-10-23 02:14:29
10:20,,Naples,EASYJET,,2024-10-23 02:14:29
10:25,,Copenhagen,SAS SCANDINAVIAN AIRLINES,,2024-10-23 02:14:29
10:30,,Athens,AEGEAN AIRLINES,,2024-10-23 02:14:29
10:30,,Lisbon,EASYJET,,2024-10-23 02:14:29
10:35,,London,BRITISH AIRWAYS,,2024-10-23 02:14:29
10:35,,Beirut,MEA MIDDLE EAST AIRLINES,,2024-10-23 02:14:29
10:40,,Ajaccio,EASYJET,,2024-10-23 02:14:29
