time,expected,destination,airline,status,scrape_time
06:00,,Paris,EASYJET,Took off,2024-11-01 23:26:26
06:00,,Marrakech,EASYJET,Took off,2024-11-01 23:26:26
06:00,,Madrid,IBERIA,Took off,2024-11-01 23:26:26
06:05,,Lisbon,TAP PORTUGAL,Took off,2024-11-01 23:26:26
06:05,,Djerba,EASYJET,Departed,2024-11-01 23:26:26
06:1006:00,06:00,Athens,EASYJET,Departed,2024-11-01 23:26:26
06:10,,Brussels,EASYJET,Departed,2024-11-01 23:26:26
06:1006:10,06:10,Zurich,SWISS,Departed,2024-11-01 23:26:26
06:1506:10,06:10,Lanzarote,EASYJET,Departed,2024-11-01 23:26:26
06:2006:15,06:15,Porto,EASYJET,Departed,2024-11-01 23:26:26
06:2006:10,06:10,Lisbon,EASYJET,Departed,2024-11-01 23:26:26
06:2006:20,06:20,Munich,AIR DOLOMITI,Departed,2024-11-01 23:26:26
06:30,,Paris,AIR FRANCE,Departed,2024-11-01 23:26:26
06:3506:25,06:25,Tenerife,EASYJET,Departed,2024-11-01 23:26:26
06:40,,Ibiza,EASYJET,Departed,2024-11-01 23:26:26
06:55,,Frankfurt,LUFTHANSA,Boarding,2024-11-01 23:26:26
07:00,,Brussels,SWISS,Go to gate,2024-11-01 23:26:26
07:05,,Athens,SWISS,Go to gate,2024-11-01 23:26:26
07:05,,Bordeaux,EASYJET,Boarding,2024-11-01 23:26:26
07:05,,London,BRITISH AIRWAYS,Go to gate,2024-11-01 23:26:26
07:10,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-01 23:26:26
07:1008:00,08:00,Pristina,SWISS,,2024-11-01 23:26:26
07:15,,Manchester,ETHIOPIAN AIRLINES,Go to gate,2024-11-01 23:26:26
07:20,,Alicante,EASYJET,Next info at 08:15,2024-11-01 23:26:26
07:25,,Bari,EASYJET,,2024-11-01 23:26:26
07:25,,London,SWISS,Go to gate,2024-11-01 23:26:26
07:40,,Zurich,SWISS,,2024-11-01 23:26:26
07:40,,Sharm El-Sheikh,EASYJET,,2024-11-01 23:26:26
07:45,,Malaga,EASYJET,,2024-11-01 23:26:26
08:00,,Figari,EASYJET,,2024-11-01 23:26:26
08:05,,Hurghada,EASYJET,,2024-11-01 23:26:26
08:05,,London,BRITISH AIRWAYS,,2024-11-01 23:26:26
08:25,,Porto,SWISS,,2024-11-01 23:26:26
08:30,,Palma de Mallorca,EASYJET,,2024-11-01 23:26:26
08:35,,Brussels,BRUSSELS AIRLINES,,2024-11-01 23:26:26
08:35,,Barcelona,EASYJET,,2024-11-01 23:26:26
08:35,,Nice,SWISS,,2024-11-01 23:26:26
08:40,,Naples,EASYJET,,2024-11-01 23:26:26
08:45,,Frankfurt,LUFTHANSA,,2024-11-01 23:26:26
08:45,,Nice,EASYJET,,2024-11-01 23:26:26
08:50,,Berlin,EASYJET,,2024-11-01 23:26:26
08:55,,Barcelona,VUELING,,2024-11-01 23:26:26
08:55,,Madrid,IBERIA,,2024-11-01 23:26:26
09:05,,Paris,AIR FRANCE,,2024-11-01 23:26:26
09:10,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-01 23:26:26
09:15,,New York,UNITED AIRLINES,,2024-11-01 23:26:26
09:20,,Munich,AIR DOLOMITI,,2024-11-01 23:26:26
09:25,,Amsterdam,EASYJET,,2024-11-01 23:26:26
09:25,,Bristol,EASYJET,,2024-11-01 23:26:26
09:35,,Vienna,AUSTRIAN,,2024-11-01 23:26:26
09:55,,Abu Dhabi,ETIHAD AIRWAYS,,2024-11-01 23:26:26
09:55,,Porto,EASYJET,,2024-11-01 23:26:26
10:10,,Zurich,SWISS,,2024-11-01 23:26:26
10:10,,Ajaccio,EASYJET,,2024-11-01 23:26:26
10:20,,Warsaw,LOT POLISH AIRLINES,,2024-11-01 23:26:26
10:20,,Washington,UNITED AIRLINES,,2024-11-01 23:26:26
10:25,,Nice,EASYJET,,2024-11-01 23:26:26
10:25,,Faro,EASYJET,,2024-11-01 23:26:26
10:25,,London,EASYJET,,2024-11-01 23:26:26
10:30,,Athens,SWISS,,2024-11-01 23:26:26
10:35,,London,EASYJET,,2024-11-01 23:26:26
10:40,,Paris,AIR FRANCE,,2024-11-01 23:26:26
10:45,,Istanbul,TURKISH AIRLINES,,2024-11-01 23:26:26
10:45,,Zurich,SWISS,,2024-11-01 23:26:26
10:50,,Helsinki,FINNAIR,,2024-11-01 23:26:26
10:55,,Frankfurt,AIR DOLOMITI,,2024-11-01 23:26:26
10:55,,Enfidha,EASYJET,,2024-11-01 23:26:26
11:05,,Athens,AEGEAN AIRLINES,,2024-11-01 23:26:26
11:15,,Manchester,EASYJET,,2024-11-01 23:26:26
11:25,,Lisbon,SWISS,,2024-11-01 23:26:26
11:35,,Bastia,EASYJET,,2024-11-01 23:26:26
11:40,,New York,SWISS,,2024-11-01 23:26:26
11:45,,Beirut,MEA MIDDLE EAST AIRLINES,,2024-11-01 23:26:26
11:50,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-01 23:26:26
12:00,,Rome,ITA AIRWAYS,,2024-11-01 23:26:26
12:00,,Lisbon,TAP PORTUGAL,,2024-11-01 23:26:26
12:05,,Paris,AIR FRANCE,,2024-11-01 23:26:26
12:20,,London,BRITISH AIRWAYS,,2024-11-01 23:26:26
12:20,,Montreal,AIR CANADA,,2024-11-01 23:26:26
12:20,,Beijing,AIR CHINA,,2024-11-01 23:26:26
12:25,,Menorca,EASYJET,,2024-11-01 23:26:26
12:35,,Madrid,IBERIA,,2024-11-01 23:26:26
12:40,,Stockholm,SWISS,,2024-11-01 23:26:26
12:45,,Nantes,EASYJET,,2024-11-01 23:26:26
12:50,,Porto,EASYJET,,2024-11-01 23:26:26
12:50,,London,SWISS,,2024-11-01 23:26:26
12:55,,Seville,EASYJET,,2024-11-01 23:26:26
13:10,,Amsterdam,EASYJET,,2024-11-01 23:26:26
13:10,,Munich,AIR DOLOMITI,,2024-11-01 23:26:26
13:15,,London,EASYJET,,2024-11-01 23:26:26
13:15,,Porto,EASYJET,,2024-11-01 23:26:26
13:20,,Copenhagen,SWISS,,2024-11-01 23:26:26
13:20,,Gran Canaria,EASYJET,,2024-11-01 23:26:26
13:40,,Frankfurt,LUFTHANSA,,2024-11-01 23:26:26
13:55,,Funchal,EASYJET,,2024-11-01 23:26:26
14:05,,Split,EASYJET,,2024-11-01 23:26:26
14:10,,Rome,EASYJET,,2024-11-01 23:26:26
14:20,,Istanbul,PEGASUS,,2024-11-01 23:26:26
14:35,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-01 23:26:26
14:35,,Toulouse,EASYJET,,2024-11-01 23:26:26
14:40,,London,BRITISH AIRWAYS,,2024-11-01 23:26:26
14:45,,Istanbul,TURKISH AIRLINES,,2024-11-01 23:26:26
14:50,,Zurich,SWISS,,2024-11-01 23:26:26
15:00,,Dubai,EMIRATES,,2024-11-01 23:26:26
15:00,,Paris,AIR FRANCE,,2024-11-01 23:26:26
15:00,,Jeddah,SAUDIA,,2024-11-01 23:26:26
15:10,,Amman,ROYAL JORDANIAN,,2024-11-01 23:26:26
15:15,,Mykonos,EASYJET,,2024-11-01 23:26:26
15:15,,Rabat,EASYJET,,2024-11-01 23:26:26
15:25,,Cairo,EGYPTAIR,,2024-11-01 23:26:26
15:25,,Doha,QATAR AIRWAYS,,2024-11-01 23:26:26
15:25,,Palma de Mallorca,EASYJET,,2024-11-01 23:26:26
15:30,,Lisbon,SWISS,,2024-11-01 23:26:26
15:40,,Heraklion,EASYJET,,2024-11-01 23:26:26
15:45,,Lisbon,EASYJET,,2024-11-01 23:26:26
15:55,,Edinburgh,EASYJET,,2024-11-01 23:26:26
15:55,,London,SWISS,,2024-11-01 23:26:26
16:00,,Pristina,EASYJET,,2024-11-01 23:26:26
16:15,,London,BRITISH AIRWAYS,,2024-11-01 23:26:26
16:15,,Algiers,AIR ALGERIE,,2024-11-01 23:26:26
16:30,,Copenhagen,EASYJET,,2024-11-01 23:26:26
16:45,,Malaga,EASYJET,,2024-11-01 23:26:26
16:55,,Casablanca,ROYAL AIR MAROC,,2024-11-01 23:26:26
17:00,,Brussels,BRUSSELS AIRLINES,,2024-11-01 23:26:26
17:00,,Munich,AIR DOLOMITI,,2024-11-01 23:26:26
17:05,,Palma de Mallorca,EASYJET,,2024-11-01 23:26:26
17:05,,Lisbon,EASYJET,,2024-11-01 23:26:26
17:10,,Malta,EASYJET,,2024-11-01 23:26:26
17:30,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-01 23:26:26
17:35,,Palma de Mallorca,EASYJET,,2024-11-01 23:26:26
17:45,,Berlin,SWISS,,2024-11-01 23:26:26
17:45,,Barcelona,VUELING,,2024-11-01 23:26:26
17:50,,London,BRITISH AIRWAYS,,2024-11-01 23:26:26
17:50,,London,SWISS,,2024-11-01 23:26:26
18:10,,Barcelona,EASYJET,,2024-11-01 23:26:26
18:15,,Paris,AIR FRANCE,,2024-11-01 23:26:26
18:15,,Lisbon,TAP PORTUGAL,,2024-11-01 23:26:26
18:20,,Istanbul,TURKISH AIRLINES,,2024-11-01 23:26:26
18:20,,Palermo,EASYJET,,2024-11-01 23:26:26
18:25,,Frankfurt,AIR DOLOMITI,,2024-11-01 23:26:26
18:30,,Olbia,EASYJET,,2024-11-01 23:26:26
18:35,,Madrid,IBERIA,,2024-11-01 23:26:26
18:45,,Antalya,PEGASUS,,2024-11-01 23:26:26
18:50,,Nantes,EASYJET,,2024-11-01 23:26:26
18:55,,Zurich,SWISS,,2024-11-01 23:26:26
19:00,,Bordeaux,EASYJET,,2024-11-01 23:26:26
19:00,,Helsinki,FINNAIR,,2024-11-01 23:26:26
19:10,,Tunis,TUNISAIR,,2024-11-01 23:26:26
19:10,,Brussels,SWISS,,2024-11-01 23:26:26
19:15,,Porto,TAP PORTUGAL,,2024-11-01 23:26:26
19:25,,Amsterdam,KLM ROYAL DUTCH AIRLINES,,2024-11-01 23:26:26
19:40,,Warsaw,LOT POLISH AIRLINES,,2024-11-01 23:26:26
19:55,,Vienna,AUSTRIAN,,2024-11-01 23:26:26
20:05,,London,EASYJET,,2024-11-01 23:26:26
20:15,,Zurich,SWISS,,2024-11-01 23:26:26
20:30,,Paris,AIR FRANCE,,2024-11-01 23:26:26
20:40,,Dubai,EMIRATES,,2024-11-01 23:26:26
20:45,,Madrid,IBERIA,,2024-11-01 23:26:26
20:50,,London,SWISS,,2024-11-01 23:26:26
21:10,,Porto,EASYJET,,2024-11-01 23:26:26
22:15,,Addis Ababa,ETHIOPIAN AIRLINES,,2024-11-01 23:26:26
