Type,LocalAirport,ForeignAirport,Airline,PlannedDate,ActualDate,Delay
ARRIVAL,ZURICH,GENEVA,SWISS,2024-10-28 21:05:00,2024-10-28 20:58:00,-7.0
ARRIVAL,ZURICH,BERLIN,SWISS,2024-10-28 21:05:00,2024-10-28 21:03:00,-2.0
ARRIVAL,ZURICH,PARIS CDG,SWISS,2024-10-28 21:10:00,2024-10-28 21:07:00,-3.0
ARRIVAL,ZURICH,VENICE,SWISS,2024-10-28 21:15:00,2024-10-28 21:07:00,-8.0
ARRIVAL,ZURICH,BRUSSELS,SWISS,2024-10-28 21:20:00,2024-10-28 21:16:00,-4.0
ARRIVAL,ZURICH,PRAGUE,SWISS,2024-10-28 21:20:00,2024-10-28 21:10:00,-10.0
ARRIVAL,ZURICH,NICE,SWISS,2024-10-28 21:20:00,2024-10-28 21:16:00,-4.0
ARRIVAL,ZURICH,LONDON LGW,SWISS,2024-10-28 21:25:00,2024-10-28 21:22:00,-3.0
ARRIVAL,ZURICH,KOŠICE,SWISS,2024-10-28 21:25:00,2024-10-28 20:58:00,-27.0
ARRIVAL,ZURICH,HANOVER,SWISS,2024-10-28 21:25:00,2024-10-28 21:12:00,-13.0
ARRIVAL,ZURICH,LONDON LHR,SWISS,2024-10-28 21:30:00,2024-10-28 21:30:00,0.0
ARRIVAL,ZURICH,DÜSSELDORF,SWISS,2024-10-28 21:30:00,2024-10-28 21:24:00,-6.0
ARRIVAL,ZURICH,AMSTERDAM,SWISS,2024-10-28 21:30:00,2024-10-28 21:30:00,0.0
ARRIVAL,ZURICH,HAMBURG,SWISS,2024-10-28 21:35:00,2024-10-28 21:40:00,5.0
ARRIVAL,ZURICH,ROME,SWISS,2024-10-28 21:35:00,2024-10-28 21:33:00,-2.0
ARRIVAL,ZURICH,VIENNA,SWISS,2024-10-28 21:40:00,2024-10-28 21:40:00,0.0
ARRIVAL,ZURICH,BUDAPEST,SWISS,2024-10-28 21:40:00,2024-10-28 21:37:00,-3.0
ARRIVAL,ZURICH,MANCHESTER,SWISS,2024-10-28 21:45:00,2024-10-28 22:07:00,22.0
ARRIVAL,ZURICH,COPENHAGEN,SWISS,2024-10-28 21:45:00,2024-10-28 21:47:00,2.0
ARRIVAL,ZURICH,MUNICH,SWISS,2024-10-28 21:45:00,2024-10-28 22:03:00,18.0
ARRIVAL,ZURICH,FRANKFURT,SWISS,2024-10-28 21:50:00,2024-10-28 22:14:00,24.0
