Date,Type,LocalAirport,ForeignAirport,Airline,Status,Planned,Expected
2024-10-30,arrival,Zurich,Antalya,edelweiss,Landed,21:05,21:36
2024-10-30,arrival,Zurich,Berlin,swiss,Landed,21:05,21:12
2024-10-30,arrival,Zurich,Geneva,swiss,Landed,21:05,21:01
2024-10-30,arrival,Zurich,Paris CDG,swiss,Landed,21:10,20:53
2024-10-30,arrival,Zurich,Luxembourg,swiss,Landed,21:10,21:00
2024-10-30,arrival,Zurich,Bremen,swiss,Landed,21:15,20:58
2024-10-30,arrival,Zurich,Dresden,swiss,Landed,21:15,21:11
2024-10-30,arrival,Zurich,Prague,swiss,Landed,21:20,20:56
2024-10-30,arrival,Zurich,Brussels,swiss,Landed,21:20,21:34
2024-10-30,arrival,Zurich,Nice,swiss,Landed,21:20,21:03
2024-10-30,arrival,Zurich,London LGW,swiss,Landed,21:25,21:16
2024-10-30,arrival,Zurich,Düsseldorf,swiss,Landed,21:25,21:21
2024-10-30,arrival,Zurich,Hanover,swiss,Landed,21:25,21:19
2024-10-30,arrival,Zurich,Wroclaw,swiss,Landed,21:30,21:06
2024-10-30,arrival,Zurich,London LHR,swiss,Landed,21:30,21:33
2024-10-30,arrival,Zurich,Amsterdam,swiss,Landed,21:30,21:14
2024-10-30,arrival,Zurich,Vienna,swiss,Landed,21:35,21:25
2024-10-30,arrival,Zurich,Rome,swiss,Landed,21:35,21:50
2024-10-30,arrival,Zurich,Hamburg,swiss,Landed,21:35,21:40
2024-10-30,arrival,Zurich,Cairo,swiss,Landed,21:40,21:24
2024-10-30,arrival,Zurich,Budapest,swiss,Landed,21:40,21:27
2024-10-30,arrival,Zurich,Munich,swiss,Landed,21:45,21:58
2024-10-30,arrival,Zurich,Manchester,swiss,Landed,21:45,21:49
2024-10-30,arrival,Zurich,Copenhagen,swiss,Landed,21:45,21:38
2024-10-30,arrival,Zurich,Warsaw,swiss,Landed,21:50,21:41
2024-10-30,arrival,Zurich,Barcelona,swiss,Landed,21:50,22:09
2024-10-30,arrival,Zurich,Dublin,swiss,Landed,21:50,21:29
2024-10-30,arrival,Zurich,Frankfurt,swiss,Landed,21:50,22:07
2024-10-30,arrival,Zurich,Valencia,swiss,Landed,21:55,22:02
2024-10-30,arrival,Zurich,Madrid,swiss,Landed,21:55,22:07
2024-10-30,arrival,Zurich,London LHR,british,Landed,22:00,22:04
2024-10-30,arrival,Zurich,London LCY,swiss,Landed,22:00,21:47
2024-10-30,arrival,Zurich,Berlin,swiss,Landed,22:10,21:55
2024-10-30,arrival,Zurich,Skopje,chair,Cancelled,22:15,
2024-10-30,arrival,Zurich,Madrid,iberia,Landed,22:20,22:43
2024-10-30,arrival,Zurich,Amsterdam,klm,Landed,22:30,22:32
2024-10-30,arrival,Zurich,Paris CDG,airfrance,Landed,22:30,22:47
2024-10-30,arrival,Zurich,Lisbon,tap,Landed,22:35,22:41
2024-10-30,arrival,Zurich,Pristina,chair,Landed,22:35,22:13
2024-10-30,arrival,Zurich,London LHR,swiss,Landed,22:45,22:40
2024-10-30,arrival,Zurich,Ibiza,edelweiss,Landed,22:55,22:54
2024-10-30,arrival,Zurich,Skopje,edelweiss,Landed,22:55,22:53
2024-10-30,arrival,Zurich,Pristina,edelweiss,Landed,22:55,22:59
2024-10-30,arrival,Zurich,Shanghai,swiss,Landed,19:00,18:50
2024-10-30,arrival,Zurich,Muscat,oman,Landed,19:05,18:39
2024-10-30,arrival,Zurich,Marrakeshvia Agadir,edelweiss,Landed,19:05,19:16
2024-10-30,arrival,Zurich,Warsaw,lot,Landed,19:05,19:06
2024-10-30,arrival,Zurich,Tromsø,edelweiss,Landed,19:10,19:01
2024-10-30,arrival,Zurich,Frankfurt,lufthansa_neu,Landed,19:10,19:07
2024-10-30,arrival,Zurich,Malaga,swiss,Landed,19:10,19:46
2024-10-30,arrival,Zurich,Lisbon,swiss,Landed,19:15,19:17
2024-10-30,arrival,Zurich,Gran Canaria,edelweiss,Landed,19:15,19:49
2024-10-30,arrival,Zurich,Tenerife,edelweiss,Landed,19:15,19:28
2024-10-30,arrival,Zurich,Zagreb,croatia_v2,Landed,19:15,19:31
2024-10-30,arrival,Zurich,Pristina,gp-aviation,Landed,19:20,19:36
2024-10-30,arrival,Zurich,Bangkok,swiss,Landed,19:25,19:20
2024-10-30,arrival,Zurich,Berlin,euro,Landed,19:30,19:19
2024-10-30,arrival,Zurich,Cologne Bonn,euro,Landed,19:30,19:35
2024-10-30,arrival,Zurich,Hamburg,euro,Landed,19:30,19:33
2024-10-30,arrival,Zurich,Athens,swiss,Landed,19:35,19:21
2024-10-30,arrival,Zurich,London LGW,easyjet,Landed,19:35,19:38
2024-10-30,arrival,Zurich,Munich,lufthansa_neu,Landed,19:40,19:50
2024-10-30,arrival,Zurich,Copenhagen,sas,Landed,19:45,19:34
2024-10-30,arrival,Zurich,Düsseldorf,swiss,Landed,19:45,19:54
2024-10-30,arrival,Zurich,Brussels,swiss,Landed,19:50,19:44
2024-10-30,arrival,Zurich,Vienna,austrian,Landed,19:50,19:42
2024-10-30,arrival,Zurich,Dubai,emirates-neu,Landed,19:50,19:12
2024-10-30,arrival,Zurich,Hurghada,edelweiss,Landed,19:55,19:59
2024-10-30,arrival,Zurich,Belgrade,serbia,Landed,19:55,19:53
2024-10-30,arrival,Zurich,London LHR,swiss,Landed,20:00,19:51
2024-10-30,arrival,Zurich,Milan MXP,swiss,Landed,20:00,20:04
2024-10-30,arrival,Zurich,Barcelona,vueling,Landed,20:05,20:16
2024-10-30,arrival,Zurich,Berlin,swiss,Landed,20:05,20:28
2024-10-30,arrival,Zurich,Stuttgart,swiss,Landed,20:05,20:02
2024-10-30,arrival,Zurich,Düsseldorf,euro,Landed,20:10,20:04
2024-10-30,arrival,Zurich,Graz,swiss,Landed,20:10,20:09
2024-10-30,arrival,Zurich,Hamburg,swiss,Landed,20:10,20:24
2024-10-30,arrival,Zurich,Geneva,swiss,Landed,20:10,20:12
2024-10-30,arrival,Zurich,Palma De Mallorca,swiss,Landed,20:15,20:22
2024-10-30,arrival,Zurich,Florence,swiss,Landed,20:15,20:11
2024-10-30,arrival,Zurich,London LHR,british,Landed,20:15,20:14
2024-10-30,arrival,Zurich,London LCY,swiss,Landed,20:20,20:28
2024-10-30,arrival,Zurich,Porto,easyjet,Landed,20:25,20:34
2024-10-30,arrival,Zurich,Amsterdam,swiss,Landed,20:25,20:12
2024-10-30,arrival,Zurich,Berlin,easyjet,Landed,20:35,20:24
